2021,1º,Grupo Secundário,Conglomerado,0000000 ,JP MORGAN CHASE (conglomerado), ,0,1,0,1,3931,3914,129,,,
2021,1º,Grupo Secundário,Banco/financeira,11271860,LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO, ,1,0,0,1,4,4,11271860,S4,LEBES FINANCEIRA CFI SA
2021,1º,Grupo Secundário,Conglomerado,0000000 ,LECCA (conglomerado), ,3,3,1,7,26060,418,25643,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,MÁXIMA (conglomerado),568,89,57,44,18,119,100194,4444,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,MERCANTIL DO BRASIL (conglomerado),65,23,227,104,38,369,3479596,2945439,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,MERCEDES-BENZ (conglomerado), ,1,0,4,5,20651,252,20473,,,
2021,1º,Top 10,Banco/financeira,09464032,MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO,2,77,30,91,50,171,10797493,09464032,S4,MIDWAY S.A. - SCFI
2021,1º,Grupo Secundário,Conglomerado,0000000 ,MODAL (conglomerado), ,25,53,34,112,1064679,1064679, ,,,
2021,1º,Grupo Secundário,Banco/financeira,74828799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO, ,11,22,0,33,91784,3074,89140,74828799,S4,NOVO BANCO CONTINENTAL S.A. - BM - PRUDENCIAL
2021,1º,Top 10,Conglomerado,0000000 ,NUBANK (conglomerado), 0 ,0,8,11,19,13774766,12716441,1936741,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,OMNI (conglomerado),6,81,32,51,53,136,4695792,9119,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,ORIGINAL (conglomerado),79,22,316,289,239,844,3988641,3643140,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,PAGBANK-PAGSEGURO (conglomerado), ,0,6,0,6,2476342,2471600,5042,,,
